"","fid","id","region","municipality","settlement","type","population","children","latitude_dms","longitude_dms","latitude_dd","longitude_dd","oktmo","year","mean","median","stdev","max","majority","variety","variance","City_size","City_type"
"1",2,1,"Республика Крым","Алушта","Пушкино","с",273,0,"44.35.45","034.20.27",44.5958333333333,34.3408333333333,35703000181,2012,1.49463498592377,1.48565149307251,0.344260070535053,2.11927080154419,1.07563853263855,10,0.118514996164799,NA,"Село"
"2",2,1,"Республика Крым","Алушта","Пушкино","с",273,0,"44.35.45","034.20.27",44.5958333333333,34.3408333333333,35703000181,2013,1.25845003128052,1.07239979505539,0.341723534613097,1.88270771503448,0.944154381752014,10,0.116774974108468,NA,"Село"
"3",2,1,"Республика Крым","Алушта","Пушкино","с",273,0,"44.35.45","034.20.27",44.5958333333333,34.3408333333333,35703000181,2014,1.3359375,1.29122257232666,0.293198233325243,2.06417608261108,1.03424251079559,10,0.0859652040250438,NA,"Село"
"4",2,1,"Республика Крым","Алушта","Пушкино","с",273,0,"44.35.45","034.20.27",44.5958333333333,34.3408333333333,35703000181,2015,1.31568518877029,1.07687187194824,0.398785599809918,2.1623318195343,0.949307978153229,10,0.159029954615756,NA,"Село"
"5",2,1,"Республика Крым","Алушта","Пушкино","с",273,0,"44.35.45","034.20.27",44.5958333333333,34.3408333333333,35703000181,2016,3.17008531093597,3.25002312660217,0.788857687646203,4.22794723510742,2.03788447380066,10,0.622296451358514,NA,"Село"
"6",2,1,"Республика Крым","Алушта","Пушкино","с",273,0,"44.35.45","034.20.27",44.5958333333333,34.3408333333333,35703000181,2017,4.89613053798676,4.78672194480896,1.15793802507512,6.83534955978394,3.27077412605286,10,1.34082046991487,NA,"Село"
"7",2,1,"Республика Крым","Алушта","Пушкино","с",273,0,"44.35.45","034.20.27",44.5958333333333,34.3408333333333,35703000181,2018,4.54071898460388,4.49303102493286,1.00862919688788,5.90325736999512,3.20195865631104,10,1.0173328568147,NA,"Село"
"8",2,1,"Республика Крым","Алушта","Пушкино","с",273,0,"44.35.45","034.20.27",44.5958333333333,34.3408333333333,35703000181,2019,3.80876340866089,3.77427411079407,0.738040656389205,5.03826522827148,2.72191715240479,10,0.544704010483408,NA,"Село"
"9",2,1,"Республика Крым","Алушта","Пушкино","с",273,0,"44.35.45","034.20.27",44.5958333333333,34.3408333333333,35703000181,2020,3.97805688381195,4.00505936145782,0.867905933893121,5.2997145652771,2.63256883621216,10,0.753260710086891,NA,"Село"
"10",2,1,"Республика Крым","Алушта","Пушкино","с",273,0,"44.35.45","034.20.27",44.5958333333333,34.3408333333333,35703000181,2021,4.34386627674103,4.19039750099182,0.959060992076997,5.93705797195435,2.76850843429565,10,0.919797986523714,NA,"Село"
"11",2,1,"Республика Крым","Алушта","Пушкино","с",273,0,"44.35.45","034.20.27",44.5958333333333,34.3408333333333,35703000181,2022,4.4334052324295,4.56662011146545,0.739461967556295,5.50657749176025,3.00044178962708,10,0.546804001462227,NA,"Село"
"12",2,1,"Республика Крым","Алушта","Пушкино","с",273,0,"44.35.45","034.20.27",44.5958333333333,34.3408333333333,35703000181,2023,4.41902306079865,4.7869668006897,0.980045297022659,5.46605157852173,2.73860836029053,10,0.960488784216232,NA,"Село"
"13",6,5,"Республика Алтай","Шебалинский район","Каспа","с",375,118,"51.06.57","086.00.46",51.1158333333333,86.0127777777778,84650457101,2012,0,0,0,0,0,1,0,NA,"Село"
"14",6,5,"Республика Алтай","Шебалинский район","Каспа","с",375,118,"51.06.57","086.00.46",51.1158333333333,86.0127777777778,84650457101,2013,0.235462212562561,0.227640688419342,0.0450342133286262,0.310665518045425,0.178220748901367,10,0.00202808037012821,NA,"Село"
"15",6,5,"Республика Алтай","Шебалинский район","Каспа","с",375,118,"51.06.57","086.00.46",51.1158333333333,86.0127777777778,84650457101,2014,0.220813225209713,0.214322663843632,0.0186180265718301,0.253177672624588,0.19608473777771,10,0.00034663091342937,NA,"Село"
"16",6,5,"Республика Алтай","Шебалинский район","Каспа","с",375,118,"51.06.57","086.00.46",51.1158333333333,86.0127777777778,84650457101,2015,0.200625470280647,0.198116138577461,0.019176679735275,0.230611577630043,0.172822505235672,10,0.0003677450456693,NA,"Село"
"17",6,5,"Республика Алтай","Шебалинский район","Каспа","с",375,118,"51.06.57","086.00.46",51.1158333333333,86.0127777777778,84650457101,2016,0.214396011829376,0.208716578781605,0.0107140402815536,0.233043491840363,0.203153520822525,10,0.00011479065915475,NA,"Село"
"18",6,5,"Республика Алтай","Шебалинский район","Каспа","с",375,118,"51.06.57","086.00.46",51.1158333333333,86.0127777777778,84650457101,2017,0.414204132556915,0.423051029443741,0.0388500674967799,0.467362940311432,0.347838401794434,10,0.00150932774450435,NA,"Село"
"19",6,5,"Республика Алтай","Шебалинский район","Каспа","с",375,118,"51.06.57","086.00.46",51.1158333333333,86.0127777777778,84650457101,2018,0.365702328085899,0.383564755320549,0.0513155921803746,0.435313940048218,0.282063573598862,10,0.00263329000082252,NA,"Село"
"20",6,5,"Республика Алтай","Шебалинский район","Каспа","с",375,118,"51.06.57","086.00.46",51.1158333333333,86.0127777777778,84650457101,2019,0.357974070310593,0.357816815376282,0.0216453544912737,0.399555057287216,0.318459182977676,10,0.0004685213710529,NA,"Село"
"21",6,5,"Республика Алтай","Шебалинский район","Каспа","с",375,118,"51.06.57","086.00.46",51.1158333333333,86.0127777777778,84650457101,2020,0.420682802796364,0.422353431582451,0.0279569699838895,0.466660857200623,0.378217846155167,10,0.0007815921706801,NA,"Село"
"22",6,5,"Республика Алтай","Шебалинский район","Каспа","с",375,118,"51.06.57","086.00.46",51.1158333333333,86.0127777777778,84650457101,2021,0.544070139527321,0.558217585086823,0.0538570810371194,0.617939710617065,0.454032957553864,10,0.00290058517783884,NA,"Село"
"23",6,5,"Республика Алтай","Шебалинский район","Каспа","с",375,118,"51.06.57","086.00.46",51.1158333333333,86.0127777777778,84650457101,2022,0.823828047513962,0.821337074041367,0.220394485296987,1.19137954711914,0.517809927463531,10,0.048573729149324,NA,"Село"
"24",6,5,"Республика Алтай","Шебалинский район","Каспа","с",375,118,"51.06.57","086.00.46",51.1158333333333,86.0127777777778,84650457101,2023,0.842925024032593,0.851145476102829,0.183504849514402,1.14741015434265,0.55821418762207,10,0.0336740297953034,NA,"Село"
"25",8,7,"Калужская область","Малоярославецкий","Ерденево","ст",169,0,"54.55.30","036.23.44",54.925,36.3955555555556,29623420000,2012,9.66231324455955,9.5577507019043,4.20926080281393,15.1059160232544,3.33345079421997,11,17.7178765061057,NA,"Село"
"26",8,7,"Калужская область","Малоярославецкий","Ерденево","ст",169,0,"54.55.30","036.23.44",54.925,36.3955555555556,29623420000,2013,8.76444110003385,7.02419328689575,3.80060057357698,13.7607622146606,3.6544394493103,11,14.4445647198737,NA,"Село"
"27",8,7,"Калужская область","Малоярославецкий","Ерденево","ст",169,0,"54.55.30","036.23.44",54.925,36.3955555555556,29623420000,2014,7.81274338202043,7.64724731445312,3.51519917152644,12.9234991073608,3.11463952064514,11,12.3566252155002,NA,"Село"
"28",8,7,"Калужская область","Малоярославецкий","Ерденево","ст",169,0,"54.55.30","036.23.44",54.925,36.3955555555556,29623420000,2015,4.55189811099659,4.26803684234619,1.47392681113704,6.649733543396,2.27455759048462,11,2.17246024458862,NA,"Село"
"29",8,7,"Калужская область","Малоярославецкий","Ерденево","ст",169,0,"54.55.30","036.23.44",54.925,36.3955555555556,29623420000,2016,4.13331031799316,4.5098180770874,0.79878702279896,4.99010324478149,2.80525827407837,11,0.638060707792027,NA,"Село"
"30",8,7,"Калужская область","Малоярославецкий","Ерденево","ст",169,0,"54.55.30","036.23.44",54.925,36.3955555555556,29623420000,2017,5.00533400882374,4.89935159683228,1.57696085209358,8.1190013885498,2.66744327545166,11,2.48680552903572,NA,"Село"
"31",8,7,"Калужская область","Малоярославецкий","Ерденево","ст",169,0,"54.55.30","036.23.44",54.925,36.3955555555556,29623420000,2018,6.43749208883806,6.75645589828491,2.27409768398426,10.3882598876953,3.05036664009094,11,5.17152027630257,NA,"Село"
"32",8,7,"Калужская область","Малоярославецкий","Ерденево","ст",169,0,"54.55.30","036.23.44",54.925,36.3955555555556,29623420000,2019,4.96554717150601,5.2008843421936,1.53888791346254,7.61030912399292,2.61729001998901,11,2.36817601020109,NA,"Село"
"33",8,7,"Калужская область","Малоярославецкий","Ерденево","ст",169,0,"54.55.30","036.23.44",54.925,36.3955555555556,29623420000,2020,4.64180686257102,4.20285940170288,1.73739957470364,7.9854211807251,2.33325028419495,11,3.0185572821804,NA,"Село"
"34",8,7,"Калужская область","Малоярославецкий","Ерденево","ст",169,0,"54.55.30","036.23.44",54.925,36.3955555555556,29623420000,2021,7.71772640401667,7.19899749755859,2.75224544014324,13.1821556091309,3.92639827728271,11,7.57485496278924,NA,"Село"
"35",8,7,"Калужская область","Малоярославецкий","Ерденево","ст",169,0,"54.55.30","036.23.44",54.925,36.3955555555556,29623420000,2022,5.39333532073281,5.49760675430298,1.98581328997077,8.93212509155273,2.70140647888184,11,3.94345442262451,NA,"Село"
"36",8,7,"Калужская область","Малоярославецкий","Ерденево","ст",169,0,"54.55.30","036.23.44",54.925,36.3955555555556,29623420000,2023,5.23833990097046,4.8655481338501,2.03604616034884,9.28153419494629,2.67818522453308,11,4.14548396707124,NA,"Село"
"37",10,9,"Краснодарский край","Кущёвский район","Большая Лопатина","х",352,59,"46.38.41","039.34.42",46.6447222222222,39.5783333333333,3628416106,2012,0.186385497450829,0,0.249449272364879,0.740845441818237,0,5,0.0622249394833674,NA,"Село"
"38",10,9,"Краснодарский край","Кущёвский район","Большая Лопатина","х",352,59,"46.38.41","039.34.42",46.6447222222222,39.5783333333333,3628416106,2013,0.416403171420097,0.406474784016609,0.0611950684983448,0.576210200786591,0.331851154565811,10,0.00374483640851712,NA,"Село"
"39",10,9,"Краснодарский край","Кущёвский район","Большая Лопатина","х",352,59,"46.38.41","039.34.42",46.6447222222222,39.5783333333333,3628416106,2014,0.510455790162087,0.497645616531372,0.126627033813847,0.853613913059235,0.357149541378021,10,0.0160344056924932,NA,"Село"
"40",10,9,"Краснодарский край","Кущёвский район","Большая Лопатина","х",352,59,"46.38.41","039.34.42",46.6447222222222,39.5783333333333,3628416106,2015,0.376370000839233,0.349694609642029,0.113120826639276,0.671804428100586,0.213353753089905,10,0.012796321419553,NA,"Село"
"41",10,9,"Краснодарский край","Кущёвский район","Большая Лопатина","х",352,59,"46.38.41","039.34.42",46.6447222222222,39.5783333333333,3628416106,2016,0.413988524675369,0.394206777215004,0.113561679768248,0.70508736371994,0.245457291603088,10,0.0128962551117862,NA,"Село"
"42",10,9,"Краснодарский край","Кущёвский район","Большая Лопатина","х",352,59,"46.38.41","039.34.42",46.6447222222222,39.5783333333333,3628416106,2017,0.536355513334274,0.485069453716278,0.147338641318962,0.960057199001312,0.420317441225052,10,0.0217086752257178,NA,"Село"
"43",10,9,"Краснодарский край","Кущёвский район","Большая Лопатина","х",352,59,"46.38.41","039.34.42",46.6447222222222,39.5783333333333,3628416106,2018,0.626516243815422,0.582158356904984,0.157032530342656,1.02804815769196,0.475866198539734,10,0.0246592155858171,NA,"Село"
"44",10,9,"Краснодарский край","Кущёвский район","Большая Лопатина","х",352,59,"46.38.41","039.34.42",46.6447222222222,39.5783333333333,3628416106,2019,0.608819764852524,0.565788507461548,0.158423143022991,1.04091048240662,0.492046535015106,10,0.0250978922452831,NA,"Село"
"45",10,9,"Краснодарский край","Кущёвский район","Большая Лопатина","х",352,59,"46.38.41","039.34.42",46.6447222222222,39.5783333333333,3628416106,2020,0.71123394370079,0.663549929857254,0.16485253326828,1.16776013374329,0.537213325500488,10,0.0271763577249695,NA,"Село"
"46",10,9,"Краснодарский край","Кущёвский район","Большая Лопатина","х",352,59,"46.38.41","039.34.42",46.6447222222222,39.5783333333333,3628416106,2021,0.803032684326172,0.755795508623123,0.205183871566458,1.36875450611115,0.650056540966034,10,0.0421004211510008,NA,"Село"
"47",10,9,"Краснодарский край","Кущёвский район","Большая Лопатина","х",352,59,"46.38.41","039.34.42",46.6447222222222,39.5783333333333,3628416106,2022,0.532783436775208,0.577400863170624,0.313380873422836,1.10227060317993,0,9,0.0982075718272595,NA,"Село"
"48",10,9,"Краснодарский край","Кущёвский район","Большая Лопатина","х",352,59,"46.38.41","039.34.42",46.6447222222222,39.5783333333333,3628416106,2023,0.844361919164658,0.811122298240662,0.165749488595093,1.25390100479126,0.661309003829956,10,0.027472892969535,NA,"Село"
"49",11,10,"Курганская область","Белозерский район","Новодостовалово","с",137,18,"55.55.10","065.49.24",55.9194444444444,65.8233333333333,37604445101,2012,0.551586750894785,0.585203409194946,0.128069710338286,0.7231724858284,0.356535941362381,8,0.0164018507061324,NA,"Село"
"50",11,10,"Курганская область","Белозерский район","Новодостовалово","с",137,18,"55.55.10","065.49.24",55.9194444444444,65.8233333333333,37604445101,2013,0.42032814770937,0.418334901332855,0.0552799559773926,0.517950415611267,0.33646959066391,8,0.00305587353286246,NA,"Село"
"51",11,10,"Курганская область","Белозерский район","Новодостовалово","с",137,18,"55.55.10","065.49.24",55.9194444444444,65.8233333333333,37604445101,2014,0.338046625256538,0.338447853922844,0.037138376777338,0.398147851228714,0.278533607721329,8,0.00137925902965552,NA,"Село"
"52",11,10,"Курганская область","Белозерский район","Новодостовалово","с",137,18,"55.55.10","065.49.24",55.9194444444444,65.8233333333333,37604445101,2015,0.436858862638474,0.439867615699768,0.0426650383926667,0.491531163454056,0.358408123254776,8,0.00182030550104773,NA,"Село"
"53",11,10,"Курганская область","Белозерский район","Новодостовалово","с",137,18,"55.55.10","065.49.24",55.9194444444444,65.8233333333333,37604445101,2016,0.408787857741117,0.407033175230026,0.041486302667087,0.473162621259689,0.346998274326324,8,0.00172111330898515,NA,"Село"
"54",11,10,"Курганская область","Белозерский район","Новодостовалово","с",137,18,"55.55.10","065.49.24",55.9194444444444,65.8233333333333,37604445101,2017,0.728338018059731,0.702845692634583,0.0834670108475667,0.860258758068085,0.592238903045654,8,0.00696674189982782,NA,"Село"
"55",11,10,"Курганская область","Белозерский район","Новодостовалово","с",137,18,"55.55.10","065.49.24",55.9194444444444,65.8233333333333,37604445101,2018,0.575200363993645,0.578760176897049,0.0333770127720258,0.615160584449768,0.513410151004791,8,0.00111402498158397,NA,"Село"
"56",11,10,"Курганская область","Белозерский район","Новодостовалово","с",137,18,"55.55.10","065.49.24",55.9194444444444,65.8233333333333,37604445101,2019,0.583280690014362,0.57186222076416,0.0427654331650214,0.657080411911011,0.512821435928345,8,0.00182888227379191,NA,"Село"
